Rank,Team,Games Played,AST,TO,Ratio
176,South Dakota St.,32,451,386,1.17
177,App State,31,389,335,1.16
178,FDU,33,449,387,1.16
179,UAlbany,33,414,357,1.16
180,UTSA,31,393,339,1.16
181,Jacksonville St.,36,422,365,1.16
182,Michigan,36,580,502,1.16
183,Washington St.,33,557,483,1.15
184,Portland St.,32,468,407,1.15
185,Harvard,27,369,322,1.15
186,Loyola Maryland,31,426,372,1.15
187,Duquesne,32,442,387,1.14
188,Richmond,32,373,327,1.14
189,George Washington,33,463,407,1.14
190,Towson,33,351,309,1.14
191,American,35,441,389,1.13
192,Southern Ill.,33,467,412,1.13
193,UNLV,33,398,352,1.13
-,Western Mich.,32,398,352,1.13
195,Youngstown St.,34,469,416,1.13
196,San Jose St.,35,452,402,1.12
197,Rider,33,416,370,1.12
198,Ball St.,31,407,363,1.12
199,Indiana St.,32,502,448,1.12
200,Norfolk St.,35,484,433,1.12
201,Green Bay,32,447,401,1.11
202,Oklahoma,34,457,411,1.11
203,Central Ark.,33,453,408,1.11
204,UCF,33,464,418,1.11
205,UTEP,33,434,391,1.11
206,James Madison,32,373,337,1.11
207,Delaware St.,30,419,379,1.11
208,Central Mich.,31,420,380,1.11
209,ULM,32,413,374,1.10
210,Massachusetts,32,413,375,1.10
211,Saint Francis,34,484,440,1.10
212,Hampton,33,391,356,1.10
213,La Salle,33,388,354,1.10
214,South Carolina St.,33,514,469,1.10
215,Mercer,33,436,398,1.10
216,NIU,31,388,355,1.09
217,Middle Tenn.,34,427,391,1.09
218,Eastern Wash.,32,437,401,1.09
219,UIW,35,440,405,1.09
220,Western Ky.,32,382,352,1.09
221,Oakland,34,439,406,1.08
222,Milwaukee,32,457,423,1.08
223,North Dakota,33,405,375,1.08
224,Syracuse,33,448,415,1.08
225,Kent St.,35,440,410,1.07
226,Vermont,33,398,371,1.07
227,Rhode Island,31,430,401,1.07
228,New Mexico St.,32,373,348,1.07
229,Wagner,30,378,353,1.07
230,Quinnipiac,33,455,425,1.07
231,Washington,31,399,373,1.07
232,Drexel,33,430,402,1.07
233,Evansville,32,403,377,1.07
234,Monmouth,33,389,364,1.07
235,Longwood,32,427,400,1.07
236,Nicholls,33,373,351,1.06
237,Florida St.,32,417,393,1.06
238,Howard,32,507,478,1.06
239,Seattle U,32,386,364,1.06
240,St. Bonaventure,34,373,353,1.06
241,N.C. A&T,32,358,340,1.05
242,Grand Canyon,34,469,448,1.05
243,VMI,34,427,408,1.05
244,TCU,32,389,372,1.05
245,UT Arlington,31,436,418,1.04
246,Arizona St.,32,412,395,1.04
247,Weber St.,34,389,373,1.04
248,Murray St.,33,392,376,1.04
249,Holy Cross,32,398,382,1.04
250,Fordham,33,452,434,1.04
251,Northeastern,32,415,399,1.04
252,Memphis,35,505,486,1.04
253,Jacksonville,33,455,438,1.04
254,Idaho,33,405,390,1.04
255,Southern U.,32,415,401,1.03
256,Southern Miss.,33,476,460,1.03
257,Bucknell,33,448,433,1.03
258,Kansas City,33,407,394,1.03
259,Troy,34,473,458,1.03
260,UT Martin,33,447,433,1.03
261,Notre Dame,33,376,366,1.03
262,Niagara,31,390,380,1.03
263,North Texas,34,356,347,1.03
264,Georgia St.,33,401,391,1.03
265,Prairie View,32,390,381,1.02
266,South Carolina,32,405,396,1.02
267,Wichita St.,34,402,394,1.02
268,Sam Houston,32,412,405,1.02
269,Providence,32,413,407,1.01
270,Ga. Southern,33,450,444,1.01
271,Southeastern La.,32,378,373,1.01
272,Ark.-Pine Bluff,31,452,449,1.01
273,Rice,32,379,377,1.01
274,Utah Tech,33,418,417,1.00
275,Iona,34,492,491,1.00
276,Radford,33,374,374,1.00
-,Wake Forest,32,362,362,1.00
278,Mount St. Mary's,36,537,538,1.00
279,Siena,32,378,379,1.00
280,Sacramento St.,32,418,422,.99
281,Temple,32,347,351,.99
282,Air Force,32,428,433,.99
283,Texas Southern,32,438,444,.99
284,Winthrop,34,439,446,.98
285,Texas A&M,34,406,414,.98
286,Colorado,34,481,491,.98
287,The Citadel,30,368,376,.98
288,George Mason,36,456,466,.98
289,Elon,33,404,413,.98
290,LSU,32,409,419,.98
291,Morehead St.,32,368,377,.98
292,Little Rock,33,447,458,.98
293,Pacific,33,421,432,.97
294,Kennesaw St.,33,439,451,.97
295,Cal Poly,35,535,550,.97
296,Northwestern St.,32,407,421,.97
297,California Baptist,32,373,386,.97
298,Georgia,33,411,426,.96
299,Boston College,31,355,368,.96
300,Binghamton,32,415,431,.96
301,Eastern Mich.,32,400,416,.96
302,Coastal Carolina,32,367,382,.96
303,Stony Brook,32,361,376,.96
304,Morgan St.,32,414,432,.96
305,Louisiana,33,340,357,.95
306,Oklahoma St.,34,436,460,.95
307,Bethune-Cookman,33,423,448,.94
308,USC Upstate,32,426,453,.94
309,Virginia Tech,32,404,430,.94
310,New Orleans,31,380,408,.93
311,Houston Christian,32,348,374,.93
312,Buffalo,31,419,451,.93
313,Old Dominion,35,369,400,.92
314,Florida A&M,31,392,425,.92
315,Bowling Green,32,359,392,.92
316,Canisius,31,348,380,.92
317,Denver,32,367,405,.91
318,Stetson,32,376,415,.91
319,Wyoming,32,373,412,.91
320,Eastern Ill.,31,350,387,.90
321,LIU,33,388,430,.90
322,California,33,345,383,.90
323,Boston U.,32,381,423,.90
324,Grambling,34,387,431,.90
325,Seton Hall,32,359,400,.90
326,FIU,33,403,451,.89
327,Missouri St.,32,390,437,.89
328,Abilene Christian,32,421,476,.88
329,Jackson St.,34,415,471,.88
330,Hawaii,31,368,418,.88
331,Oral Roberts,30,306,348,.88
332,Tennessee St.,33,440,506,.87
333,UMES,31,361,416,.87
334,Western Caro.,30,362,420,.86
335,San Diego,33,376,440,.85
336,Western Ill.,31,317,373,.85
337,Charleston So.,32,367,433,.85
338,New Hampshire,32,359,424,.85
339,Alabama A&M,32,432,513,.84
340,Chicago St.,32,344,412,.83
-,Fresno St.,32,344,412,.83
342,UC Davis,32,354,424,.83
343,Detroit Mercy,32,347,416,.83
344,NJIT,31,312,375,.83
345,Southern Utah,31,371,448,.83
